second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
74,1603,9698,2.3931103439215167,0.9768418660579674,566.0,11.87953277767151,4.703120838407869,12.776644498319508,2.0,1.0320987147043508,215.55612963630588,288.4287072255267,86.66036238897864,85.33892233914682,62.72503503368387,94.32783743626104,295.1703731267172,87.02117795570915
77,1654,9622,3.1176693135511155,0.9454955881179958,854.0,10.69204605195532,-5.945217297893684,12.233783449788035,0.0,0.9576593665782736,194.0089823384772,215.1596723599688,79.75729578645675,-107.87697248409542,-188.8728550302513,79.85963573263803,286.2981662137001,79.80185160153319
78,1664,9763,2.007510717125352,1.1114767381146016,419.0,10.5370108336498,5.983690752367756,12.117473017441576,0.0,1.0114642530873852,191.1958421047072,262.9658173578392,79.70596841808086,108.57507981671353,54.46498726180992,79.82091705742812,268.54693432639584,79.71069991332196
79,1698,9695,2.8781732200740646,1.2472535709787684,836.0,0.1406619296788818,-11.819338474812945,11.82017545388623,0.0,0.9773390870746586,2.552334482863144,-15.502400123901914,79.78204989259896,-214.46389383939507,-339.307528942327,79.82813508271553,339.66148384317825,79.8280391113785
82,1738,9819,1.3238746310613267,1.132332624499048,337.0,-9.823425518886154,5.884411511096477,11.451025620311416,0.0,0.9941736882413016,-178.24771598775513,-209.1756540431776,79.7777378411237,106.77364120779032,197.85903175392303,79.82823763599802,287.9282040561345,79.80158877975718
87,1926,9820,1.2383408542204084,1.1466173556741124,259.0,2.111142147430624,-9.536380163986667,9.76726511356871,0.0,1.0346015300683586,38.30703100273126,19.39294679213025,79.73340228319975,-173.03922951861463,-305.7556663370298,79.69038481174131,306.3700603559093,79.69055721940983
88,1938,9711,2.3780289444486926,1.0782468424084073,400.0,-3.1255927057115773,-9.094661738239118,9.616766706902482,0.0,0.98059148120758,-56.71440780305803,-91.2791959736459,79.82383821726442,-165.02417404251477,-254.63100775959927,79.84399727908875,270.4973969010873,79.84170198064591
93,1983,9752,1.897237538741984,1.4738791675634657,488.0,6.8378386845368455,-6.294612009389913,9.293986132145038,0.0,1.044316621122152,124.07373837854554,299.9873486817007,79.7567972186066,-114.21679856438364,-201.22387047279608,79.80598915414174,361.2249374242162,79.7720654875379
94,2012,9627,2.889265732722865,0.9203041186631432,299.0,8.547180980691387,2.8278234388209853,9.002826673764075,0.0,0.997474803620044,155.09004318434197,309.8008776804045,79.68479346095214,51.31133413872852,64.9663471014806,79.69755953769307,316.53942892988704,79.68533125010669
95,2092,9718,2.2920687730941425,1.0117724944673958,306.0,4.176391988419344,-7.304943948272795,8.414538378802524,0.0,1.0349062290821478,75.78133835026175,74.74710192483175,79.79051771560312,-132.54944231977436,-229.34471938532985,79.75402397645269,241.21801250341335,79.75752889088412
